Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,BioProject,GenBank_Title
OQ419012,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000422,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195615,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000422, complete genome"
OQ419013,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000424,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195656,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000424, complete genome"
OQ419014,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000427,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195656,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000427, complete genome"
OQ419016,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000462,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195656,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000462, complete genome"
OQ419017,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000467,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195656,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000467, complete genome"
OQ419018,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000475,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195653,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000475, complete genome"
OQ419020,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000491,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195656,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000491, complete genome"
OQ419021,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000495,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195656,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000495, complete genome"
OQ419022,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000498,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195656,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000498, complete genome"
OQ419023,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000515,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195663,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000515, complete genome"
OQ419024,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000516,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195651,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000516, complete genome"
OQ419025,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000522,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195650,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000522, complete genome"
OQ419026,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000523,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195645,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000523, complete genome"
OQ419028,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000525,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195656,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000525, complete genome"
OQ419029,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000526,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195656,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000526, complete genome"
OQ419030,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000527,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195656,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000527, complete genome"
OQ419031,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000528,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195619,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000528, complete genome"
OQ419032,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000529,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195653,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000529, complete genome"
OQ419033,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000530,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195656,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000530, complete genome"
OQ419034,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000531,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195650,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000531, complete genome"
OQ419035,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000546,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195653,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000546, complete genome"
OQ419036,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000547,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195656,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000547, complete genome"
OQ419037,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000554,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195656,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000554, complete genome"
OQ419038,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000562,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195650,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000562, complete genome"
OQ419039,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000571,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195656,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000571, complete genome"
OQ419040,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000577,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195656,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000577, complete genome"
OQ419041,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000578,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195650,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000578, complete genome"
OQ419042,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000579,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195653,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000579, complete genome"
OQ419043,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000586,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195650,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000586, complete genome"
OQ419044,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000594,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195653,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000594, complete genome"
OQ419046,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000609,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195653,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000609, complete genome"
OQ419047,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000612,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195629,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000612, complete genome"
OQ419048,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000613,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195656,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000613, complete genome"
OQ419049,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000625,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195656,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000625, complete genome"
OQ419050,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000632,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195656,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000632, complete genome"
OQ419051,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000634,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195648,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000634, complete genome"
OQ419052,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000648,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195643,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000648, complete genome"
OQ419054,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000659,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195656,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000659, complete genome"
OQ419055,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000661,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195650,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000661, complete genome"
OQ419056,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-000663,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195656,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-000663, complete genome"
OQ419085,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-001183,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195653,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2022,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-001183, complete genome"
OQ419086,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-001186,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195650,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2023,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-001186, complete genome"
OQ419087,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-001187,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195646,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2023,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-001187, complete genome"
OQ419089,Monkeypox virus,,"Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory",USA,2023-02-15,NY-NYCPHL-001189,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,195653,GenBank,complete,,,,"USA: NY, New York City",USA,NY,Homo sapiens,,2023,,PRJNA949682,"Monkeypox virus isolate NY-NYCPHL-001189, complete genome"
LC753968,Monkeypox virus,,"Kasuya,F., Negishi,A., Kumagai,R., Hasegawa,M., Fujiwara,T., Miyake,H., Nagashima,M., Sadamasu,K.","Department of Microbiology; 3-24-1,Hyakunin-cho, Shinjuku-ku, Tokyo 169-0073",Japan,2023-02-11,MPXV/human/Japan/Tokyo/2022/TKY220165,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197141,GenBank,complete,,,,Japan:Tokyo,Japan,,Homo sapiens,swab,2022-09,,,"Monkeypox virus MPXV/human/Japan/Tokyo/2022/TKY220165 DNA, complete genome"
LC753969,Monkeypox virus,,"Kasuya,F., Negishi,A., Kumagai,R., Hasegawa,M., Fujiwara,T., Miyake,H., Nagashima,M., Sadamasu,K.","Department of Microbiology; 3-24-1,Hyakunin-cho, Shinjuku-ku, Tokyo 169-0073",Japan,2023-02-11,MPXV/human/Japan/Tokyo/2022/TKY220176,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197141,GenBank,complete,,,,Japan:Tokyo,Japan,,Homo sapiens,swab,2022-10,,,"Monkeypox virus MPXV/human/Japan/Tokyo/2022/TKY220176 DNA, complete genome"
LC753970,Monkeypox virus,,"Kasuya,F., Negishi,A., Kumagai,R., Hasegawa,M., Fujiwara,T., Miyake,H., Nagashima,M., Sadamasu,K.","Department of Microbiology; 3-24-1,Hyakunin-cho, Shinjuku-ku, Tokyo 169-0073",Japan,2023-02-11,MPXV/human/Japan/Tokyo/2022/TKY220187,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197141,GenBank,complete,,,,Japan:Tokyo,Japan,,Homo sapiens,swab,2022-10,,,"Monkeypox virus MPXV/human/Japan/Tokyo/2022/TKY220187 DNA, complete genome"
OQ261694,Monkeypox virus,SRR23462419,"Rhie,G.-e.","Korea Disease Control and Prevention Agency, Division of High-risk Pathogens",,2023-01-22,MPXV-ROK-P3-2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197173,GenBank,complete,,,,South Korea,South Korea,,Homo sapiens,,2022-11-14,SAMN33299275,PRJNA935252,"Monkeypox virus isolate MPXV-ROK-P3-2022, complete genome"
OP120937,Monkeypox virus,,"Aja-Macaya,P., Rumbo-Feal,S., Poza,M., Canizares,A., Vallejo,J.A., Bou,G.","Biomedical research institute (INIBIC), Microbiology",Spain,2023-01-18,MP01CHUAC,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197205,GenBank,complete,,,,Spain,Spain,,Homo sapiens,lesion,2022-05,,,"Monkeypox virus isolate MP01CHUAC, complete genome"
